recipe_id,user_id,rating
recipe-1,user-11,2.0
recipe-1,user-15,1.0
recipe-1,user-21,4.0
recipe-1,user-23,4.0
recipe-1,user-24,2.0
recipe-1,user-25,4.0
recipe-1,user-26,3.0
recipe-1,user-28,0.0
recipe-1,user-29,2.0
recipe-1,user-31,1.0
recipe-1,user-34,3.0
recipe-1,user-35,3.0
recipe-1,user-39,1.0
recipe-1,user-41,2.0
recipe-1,user-43,2.0
recipe-1,user-44,4.0
recipe-1,user-45,4.0
recipe-1,user-48,4.0
recipe-1,user-51,3.0
recipe-1,user-52,0.0
recipe-1,user-53,2.5
recipe-1,user-55,4.0
recipe-1,user-56,4.0
recipe-1,user-59,4.0
recipe-1,user-60,4.0
recipe-1,user-93,4.0
recipe-1,user-96,4.0
recipe-1,user-97,4.0
recipe-1,user-99,4.0
recipe-10,user-11,1.0
recipe-10,user-15,0.0
recipe-10,user-20,1.0
recipe-10,user-21,4.0
recipe-10,user-22,4.0
recipe-10,user-23,2.5
recipe-10,user-24,0.0
recipe-10,user-25,4.0
recipe-10,user-26,2.0
recipe-10,user-28,1.0
recipe-10,user-29,2.5
recipe-10,user-30,2.0
recipe-10,user-31,1.0
recipe-10,user-32,2.0
recipe-10,user-33,2.5
recipe-10,user-34,2.0
recipe-10,user-35,3.0
recipe-10,user-39,1.0
recipe-10,user-41,2.0
recipe-10,user-43,2.5
recipe-10,user-44,4.0
recipe-10,user-45,4.0
recipe-10,user-48,2.0
recipe-10,user-49,2.0
recipe-10,user-50,0.0
recipe-10,user-51,2.0
recipe-10,user-53,4.0
recipe-10,user-55,4.0
recipe-10,user-56,4.0
recipe-10,user-59,4.0
recipe-10,user-60,4.0
recipe-10,user-81,4.0
recipe-10,user-82,4.0
recipe-10,user-83,4.0
recipe-10,user-85,4.0
recipe-10,user-86,4.0
recipe-10,user-88,4.0
recipe-10,user-89,4.0
recipe-10,user-90,4.0
recipe-100,user-1,4.0
recipe-100,user-11,4.0
recipe-100,user-12,4.0
recipe-100,user-13,4.0
recipe-100,user-14,2.0
recipe-100,user-15,2.0
recipe-100,user-16,0.0
recipe-100,user-17,2.0
recipe-100,user-18,2.0
recipe-100,user-19,4.0
recipe-100,user-2,2.0
recipe-100,user-20,2.0
recipe-100,user-21,2.5
recipe-100,user-22,2.0
recipe-100,user-23,2.5
recipe-100,user-24,3.0
recipe-100,user-25,0.0
recipe-100,user-26,2.0
recipe-100,user-27,4.0
recipe-100,user-28,2.5
recipe-100,user-29,3.0
recipe-100,user-3,2.0
recipe-100,user-30,2.0
recipe-100,user-31,4.0
recipe-100,user-32,2.5
recipe-100,user-33,2.5
recipe-100,user-34,3.0
recipe-100,user-35,2.5
recipe-100,user-36,0.0
recipe-100,user-38,2.5
recipe-100,user-39,3.0
recipe-100,user-4,4.0
recipe-100,user-41,2.5
recipe-100,user-42,2.0
recipe-100,user-43,2.0
recipe-100,user-44,2.5
recipe-100,user-45,2.5
recipe-100,user-46,2.0
recipe-100,user-47,3.0
recipe-100,user-48,2.5
recipe-100,user-49,4.0
recipe-100,user-50,4.0
recipe-100,user-51,4.0
recipe-100,user-52,4.0
recipe-100,user-53,4.0
recipe-100,user-54,4.0
recipe-100,user-55,4.0
recipe-100,user-56,4.0
recipe-100,user-59,4.0
recipe-100,user-60,4.0
recipe-100,user-7,2.0
recipe-100,user-9,2.0
recipe-1000,user-11,2.0
recipe-1000,user-12,1.0
recipe-1000,user-15,1.0
recipe-1000,user-18,1.0
recipe-1000,user-21,2.0
recipe-1000,user-22,3.0
recipe-1000,user-23,3.0
recipe-1000,user-24,3.0
recipe-1000,user-25,2.5
recipe-1000,user-26,2.5
recipe-1000,user-27,3.0
recipe-1000,user-28,3.0
recipe-1000,user-29,2.5
recipe-1000,user-3,0.0
recipe-1000,user-31,3.0
recipe-1000,user-32,2.5
recipe-1000,user-33,2.5
recipe-1000,user-34,3.0
recipe-1000,user-35,2.0
recipe-1000,user-36,2.0
recipe-1000,user-37,2.0
recipe-1000,user-38,2.0
recipe-1000,user-39,3.0
recipe-1000,user-41,2.0
recipe-1000,user-42,3.0
recipe-1000,user-43,2.0
recipe-1000,user-44,4.0
recipe-1000,user-45,4.0
recipe-1000,user-46,4.0
recipe-1000,user-47,4.0
recipe-1000,user-48,2.5
recipe-1000,user-49,3.0
recipe-1000,user-50,2.0
recipe-1000,user-51,2.0
recipe-1000,user-52,4.0
recipe-1000,user-53,4.0
recipe-1000,user-54,4.0
recipe-1000,user-55,4.0
recipe-1000,user-56,4.0
recipe-1000,user-57,4.0
recipe-1000,user-59,4.0
recipe-1000,user-60,4.0
recipe-1000,user-7,1.0
recipe-1000,user-81,4.0
recipe-1000,user-82,4.0
recipe-1000,user-83,4.0
recipe-1000,user-85,4.0
recipe-1000,user-86,4.0
recipe-1000,user-88,4.0
recipe-1000,user-89,4.0
recipe-1000,user-90,4.0
recipe-1001,user-11,0.0
recipe-1001,user-15,1.0
recipe-1001,user-21,4.0
recipe-1001,user-23,4.0
recipe-1001,user-24,1.0
recipe-1001,user-25,4.0
recipe-1001,user-26,2.5
recipe-1001,user-28,1.0
recipe-1001,user-29,2.5
recipe-1001,user-31,1.0
recipe-1001,user-34,3.0
recipe-1001,user-35,2.5
recipe-1001,user-39,0.0
recipe-1001,user-41,2.0
recipe-1001,user-43,2.0
recipe-1001,user-44,4.0
recipe-1001,user-45,4.0
recipe-1001,user-48,4.0
recipe-1001,user-51,3.0
recipe-1001,user-52,2.0
recipe-1001,user-53,3.0
recipe-1001,user-55,4.0
recipe-1001,user-56,4.0
recipe-1001,user-59,4.0
recipe-1001,user-60,4.0
recipe-1001,user-93,4.0
recipe-1001,user-96,4.0
recipe-1001,user-97,4.0
recipe-1001,user-99,4.0
recipe-1002,user-21,3.0
recipe-1002,user-23,4.0
recipe-1002,user-24,2.5
recipe-1002,user-26,2.5
recipe-1002,user-27,2.5
recipe-1002,user-28,2.0
recipe-1002,user-29,3.0
recipe-1002,user-31,2.0
recipe-1002,user-32,2.5
recipe-1002,user-33,4.0
recipe-1002,user-34,2.5
recipe-1002,user-35,4.0
recipe-1002,user-36,3.0
recipe-1002,user-38,4.0
recipe-1002,user-41,2.0
recipe-1002,user-42,1.0
recipe-1002,user-43,4.0
recipe-1002,user-44,4.0
recipe-1002,user-45,4.0
recipe-1002,user-46,4.0
recipe-1002,user-47,4.0
recipe-1002,user-48,4.0
recipe-1002,user-50,4.0
recipe-1002,user-51,4.0
recipe-1002,user-53,4.0
recipe-1002,user-54,4.0
recipe-1002,user-55,4.0
recipe-1002,user-56,4.0
recipe-1002,user-59,4.0
recipe-1002,user-60,4.0
recipe-1002,user-7,2.0
recipe-1002,user-9,2.0
recipe-1003,user-11,2.0
recipe-1003,user-15,0.0
recipe-1003,user-18,0.0
recipe-1003,user-20,2.0
recipe-1003,user-21,4.0
recipe-1003,user-22,0.0
recipe-1003,user-23,2.0
recipe-1003,user-24,0.0
recipe-1003,user-25,4.0
recipe-1003,user-26,2.5
recipe-1003,user-27,4.0
recipe-1003,user-28,2.5
recipe-1003,user-29,3.0
recipe-1003,user-3,0.0
recipe-1003,user-31,2.0
recipe-1003,user-32,2.0
recipe-1003,user-33,1.0
recipe-1003,user-34,2.0
recipe-1003,user-35,2.5
recipe-1003,user-36,4.0
recipe-1003,user-38,2.0
recipe-1003,user-39,2.0
recipe-1003,user-40,2.5
recipe-1003,user-41,2.5
recipe-1003,user-42,4.0
recipe-1003,user-43,2.0
recipe-1003,user-44,4.0
recipe-1003,user-45,4.0
recipe-1003,user-46,4.0
recipe-1003,user-47,4.0
recipe-1003,user-48,4.0
recipe-1003,user-49,4.0
recipe-1003,user-50,4.0
recipe-1003,user-51,4.0
recipe-1003,user-53,4.0
recipe-1003,user-54,4.0
recipe-1003,user-55,4.0
recipe-1003,user-56,4.0
recipe-1003,user-57,4.0
recipe-1003,user-59,4.0
recipe-1003,user-6,2.0
recipe-1003,user-60,4.0
recipe-1004,user-16,1.0
recipe-1004,user-2,1.0
recipe-1004,user-21,3.0
recipe-1004,user-23,2.5
recipe-1004,user-24,2.0
recipe-1004,user-26,2.5
recipe-1004,user-27,2.0
recipe-1004,user-28,3.0
recipe-1004,user-29,2.5
recipe-1004,user-31,1.0
recipe-1004,user-32,2.5
recipe-1004,user-33,3.0
recipe-1004,user-34,2.5
recipe-1004,user-35,2.5
recipe-1004,user-36,2.5
recipe-1004,user-38,2.5
recipe-1004,user-39,1.0
recipe-1004,user-41,3.0
recipe-1004,user-42,0.0
recipe-1004,user-43,4.0
recipe-1004,user-44,4.0
recipe-1004,user-45,4.0
recipe-1004,user-46,4.0
recipe-1004,user-47,4.0
recipe-1004,user-48,4.0
recipe-1004,user-50,4.0
recipe-1004,user-51,4.0
recipe-1004,user-53,4.0
recipe-1004,user-54,4.0
recipe-1004,user-55,4.0
recipe-1004,user-56,4.0
recipe-1004,user-59,4.0
recipe-1004,user-60,4.0
recipe-1004,user-7,0.0
recipe-1004,user-9,0.0
recipe-1005,user-16,0.0
recipe-1005,user-18,2.0
recipe-1005,user-2,1.0
recipe-1005,user-21,4.0
recipe-1005,user-22,0.0
recipe-1005,user-23,3.0
recipe-1005,user-26,3.0
recipe-1005,user-28,2.0
recipe-1005,user-29,3.0
recipe-1005,user-3,0.0
recipe-1005,user-32,2.5
recipe-1005,user-33,1.0
recipe-1005,user-34,3.0
recipe-1005,user-35,3.0
recipe-1005,user-38,2.5
recipe-1005,user-39,2.0
recipe-1005,user-41,3.0
recipe-1005,user-42,4.0
recipe-1005,user-43,4.0
recipe-1005,user-44,4.0
recipe-1005,user-45,4.0
recipe-1005,user-46,4.0
recipe-1005,user-47,4.0
recipe-1005,user-48,4.0
recipe-1005,user-49,4.0
recipe-1005,user-50,4.0
recipe-1005,user-51,2.5
recipe-1005,user-52,2.0
recipe-1005,user-53,3.0
recipe-1005,user-54,4.0
recipe-1005,user-55,4.0
recipe-1005,user-56,4.0
recipe-1005,user-59,4.0
recipe-1005,user-60,4.0
recipe-1005,user-93,4.0
recipe-1005,user-94,4.0
recipe-1005,user-96,4.0
recipe-1005,user-99,4.0
recipe-1006,user-11,0.0
recipe-1006,user-12,2.0
recipe-1006,user-15,1.0
recipe-1006,user-18,1.0
recipe-1006,user-21,2.5
recipe-1006,user-22,1.0
recipe-1006,user-23,2.5
recipe-1006,user-24,2.0
recipe-1006,user-25,2.5
