recipeProcess_id,recipeProcess_recipeId,recipeProcess_no1,recipeProcess_image1,recipeProcess_no2,recipeProcess_image2,recipeProcess_no3,recipeProcess_image3,recipeProcess_no4,recipeProcess_image4,recipeProcess_no5,recipeProcess_image5,recipeProcess_no6,recipeProcess_image6,recipeProcess_no7,recipeProcess_image7,recipeProcess_no8,recipeProcess_image8,recipeProcess_no9,recipeProcess_image9,recipeProcess_no10,recipeProcess_image10,recipeProcess_no11,recipeProcess_image11,recipeProcess_no12,recipeProcess_image12,recipeProcess_no13,recipeProcess_image13,recipeProcess_no14,recipeProcess_image14,recipeProcess_no15,recipeProcess_image15,recipeProcess_no16,recipeProcess_image16,recipeProcess_no17,recipeProcess_image17,recipeProcess_no18,recipeProcess_image18,recipeProcess_no19,recipeProcess_image19,recipeProcess_no20,recipeProcess_image20
recipeProcess-1,recipe-1,1. 고구마는 깨끗이 씻어서 껍질을 벗기고 4cm 정도로 잘라준다.a,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00017_1.png,"2. 찜기에 고구마를 넣고 20~30분 정도 삶아 주고, 블렌더나 체를 이용하여 잘 으깨어 곱게 만든다.b",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00017_2.png,3. 고구마와 물을 섞어 끓이면서 찹쌀가루로 농도를 맞추고 설탕을 넣어 맛을 낸다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00017_3.png,4. 잣을 팬에 노릇하게 볶아 다져서 고구마 죽에 섞는다. 기호에 따라 고구마를 튀겨 얹어 먹어도 좋다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-2,recipe-2,"1. 깨끗이 씻어 손질한 애호박, 당근과 기둥을 뗀 표고버섯을 잘게 다지듯이 썬다.a",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00016_1.png,2. 누룽지는 1cm 정도로 잘게 부숴준다.b,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00016_2.png,3. 냄비에 참기름을 두르고 썰어놓은 채소를 볶다가 누룽지와 물을 넣고 끓인다.,,4. 누룽지가 살짝 퍼지면 순두부를 넣고 흰후추와 소금을 넣는다.,,5. 죽이 끓으면 달걀을 풀어 넣고 한 소끔 끓여낸 후 참깨를 뿌려 마무리 한다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00016_5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-3,recipe-3,1. 배합초는 중불에서 설탕이 녹을 때까지 저어가면서 녹인다.,,2. 뜨거운 밥에 배합초를 넣어서 밥알이 으깨지지 않게 고루 저어가면서 밥을 체온 정도로 식힌다.a,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00009_2.png,3. 표고버섯은 기둥을 떼고 끓는 물에 데친 후 찬물에 헹궈 물기를 없애고 얇게 썰어 달궈진 팬에 참기름을 두르고 볶는다.,,4. 새송이버섯은 세로로 얇게 썰어 달궈진 팬에 참기름을 두르고 볶는다.b,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00009_4.png,5. 달걀노른자를 고루 풀어 약한 불에 지단을 부친 후 채썬다.,,6. 청피망과 홍피망은 채를 썬후 달궈진 팬에 기름을 두르고 볶는다.,,7. 양파는 채를 썰어 찬물에 담가 매운맛을 제거한 뒤 달궈진 팬에 기름을 두르고 살짝 볶는다.,,8. 새우는 껍질을 벗기고 등쪽 2~3마디에 있는 내장을 꼬챙이로 꺼내고 물에 헹궈 물기를 뺀 다음 기름을 두르고 볶는다.,,"9. 초밥 위에 청피망, 홍피망, 양파, 달걀노른자, 새송이버섯, 표고버섯, 새우를 가지런히 놓는다.c",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00009_9.png,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-4,recipe-4,1. 고사리는 상태에 따라 2~5시간 정도 불린 후 30분 정도 삶아 찬물에 헹구어 물기를 짠다.,,2. 콩나물은 다듬어서 끓는 물에 데친후 건져 식힌다.,,"3. 불린 표고버섯은 물기를 짜서 채를 썰고, 당근, 애호박은 길이 3cm 정도로 채를 썰어 끓는 소금물에 살짝 데쳐 찬물에 헹구어 물기를 짜서 준비한다.a",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00010_3.png,"4. 흰쌀, 현미쌀, 찹쌀을 깨끗하게 씻고, 30분 이상 불려 쌀에 1.2배의 물을 붓고 곤약을 넣어 밥을 짓는다.",,5. 그릇에 밥과 준비된 재료를 넣어 소금으로 간을 하여 고루 버무려 준다.,,"6. 초고추장, 플레인요거트와 참기름을 섞어 비빔고추장 소스를 준비한다.c",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00010_6.png,7. 두부는 1.5×1.5×3cm로 자르고 잠길 만큼의 물을 붓고 3~4분정도 끓인 후 속을 파내어 그 속에 버무린 밥을 올린다.b,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00010_7.png,"8. 새싹채소를 올려 준 후, 비빔고추 장소스를 곁들여 준다.",,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-5,recipe-5,1. 쌀은 30분 정도 불린 후 물을 1:1로 하여 밥을 짓는다.,,2. 숙주는 끓는 소금물에 넣어 숨이 죽으면 찬물에 헹구어 물기를 뺀다.,,3. 고사리는 상태에 따라 2~5시간정도 불린 후 30분 정도 삶아 찬물에 헹구어 물기를 짠다.a,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00011_3.png,4. 말린 토란대는 미지근한 물에 하루정도 담갔다가 끓는 물에 넣어 끓이다가 물러지면 꺼내어 미지근한 물에 1~2일 담구어 아린 맛을 뺀다.,,"5. 숙주, 토란대, 고사리는 따로 들기름에 살짝 볶아 준다.",,6. 대파는 파채를 썰은 후 물에 담가매운맛을 제거한다.,,7. 달걀은 지단을 부치고 채를 썬다.,,8. 닭가슴살은 손질을 하여 냄비에 잠길 정도로 물을 붓고 누린내 제거를 위해 월계수잎과 후추를 넣고 15~20분 정도 삶아 식혀서 고기의 결대로 찢는다.b,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00011_8.png,"9. 들깨가루, 고추기름, 꿀, 저염간장을 함께 섞어 소스를 만든다.c",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00011_9.png,10. 그릇에 밥을 담고 준비된 고명을 올린 후 소스를 곁들인다.,,,,,,,,,,,,,,,,,,,,,
recipeProcess-6,recipe-6,1. 끓는 소금물에 취나물을 데쳐 찬물에 헹구어 물기를 짜고 1.5cm 정도로 썰어 참기름과 참깨에 무친다.a,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00012_1.png,"2. 쇠고기를 곱게 다지고 다진 양파와 마늘, 간장, 매실즙을 넣고 양념하여 달궈진 프라이팬에 볶는다.",,3. 준비된 밥에 (1)과 (2)를 넣고 잘 섞는다.,,"4. 다진 표고버섯, 양파, 호박, 당근, 호두를 달군 프라이팬에 참기름을 넣고 모두 볶는다.b",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00012_4.png,"5. 청국장, 된장을 쌀뜨물에 잘 풀고, 콩가루, 멸치가루와 볶아 놓은 재료(4)를 넣고 한소끔 끓인다.",,6. 취나물밥과 청국장 쌈장을 같이 곁들인다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00012_6.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-7,recipe-7,1. 잡곡을 깨끗하게 씻고 물에 30분 정도 불려 물을 1:1로 하여 밥이 끓으면 약한 불로 줄이고 뜸을 들여 고슬고슬한 밥을 지어 한입 크기로 뭉쳐 놓는다.a,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00013_1.png,2. 무는 채를 썰어 초절임물에 절여 놓는다.,,"3. 감자, 애호박, 양파, 청양고추, 표고버섯, 대파, 마늘을 잘게 다져 준비하고 조갯살, 새우살, 오징어살을 곱게 다진다.",,"4. 달궈진 프라이팬에 기름을 두르고, 감자를 먼저 볶다가 투명해지면 나머지 채소를 볶는다.b",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00013_4.png,"5. 다른 팬에 기름을 두르고 다진 해
산물을 볶아 준비한다.",,"6. 볶은 채소 팬(4)에 볶은 해산물(5)을 넣고 쌈장, 고춧가루, 설탕, 참기름을 넣어 되직하게 볶아 쌈장을 완성한다.",,7. 곰취는 끓는 소금물에 데쳐 찬물에 식힌 후 물기를 제거하여 준비 한다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00013_7.png,"8. 곰취잎을 넓게 편 후 잡곡밥과 무채절임, 쌈장을 넣고 먹기 좋은 크기로 말아 완성한다.",,,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-8,recipe-8,1. 찹쌀을 깨끗이 씻어 물에 30분 정도 불린다.,,"2. 대추는 씨를 제거하고 돌려깎은후 채를 썰고, 밤은 껍질을 벗기고 4등분한다.",,"3. 잣은 꼭지를 떼고, 은행은 프라이 팬에 볶아 껍질을 제거한다.",,4. 단호박은 물에 씻은 후 씨와 껍질 을 제거하고 사방 1cm 크기로 썬다.a,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00014_4.png,5. 불린 찹쌀을 찜기에 올려 40분 정도 찐다,,"6. 어느 정도 쪄진 찹쌀에 대추, 밤,은행, 단호박, 잣을 넣고 버무려 20분간 더 쪄서 한입 크기로 준비한다.b",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00014_6.png,7. 케일을 깨끗이 씻어 끓는 물에 살짝 데친 뒤 찬물에 헹구어 물기를 뺀다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00014_7.png,8. 소스팬에 케일을 데치고 남은 물과 설탕을 넣고 5분 정도 끓여 케일소스를 만든다.,,9. 케일 잎에 밥을 얹고 소스를 곁들인다.,,,,,,,,,,,,,,,,,,,,,,,
recipeProcess-9,recipe-9,"1. 바지락은 소금물에 20~30분정도 담근 후, 2~3번 헹구어 해감하고 바지락이 살짝 벌어질 때까지 삶는다.a",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00015_1.png,2. 불린 찹쌀과 흑미를 섞고 바지락 삶은 물을 넣어 1:1로 고슬고슬한 밥을 한다.,,"3. 강낭콩, 메주콩, 완두콩은 콩의 두배의 물로 불린 후 콩과 물을 1:2.5로 넣고 20~25분 정도 무르게 삶아준다.",,"4. 애호박, 당근, 가지, 표고버섯은 길이로 얇게 썬다.b",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00015_4.png,"5. 달걀을 풀어 약한 불에 지단을 부치고 애호박, 가지, 당근과 표고버섯은 볶는다.",,6. 대추는 씨를 빼고 돌려 깍은 후 돌돌 말아 준비한다.,,"7. 김발 위에 지단을 놓고 애호박, 당근, 가지를 차례대로 올리고, 밥과 강남콩, 메주콩, 완두콩을 올리고 대추말이와 표고버섯을 넣어 돌돌 말아준다.c",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00015_7.png,"8. 다진 호두, 잣가루, 참기름을 섞어 고소한 소스를 만든다.",,9. 연근은 얇게 썰어 끓는 물에 식초를 넣고 데쳐서 치자로 물을 들이 고 물기를 빼 준 후에 달궈진 팬에 기름을 두르고 바삭하게 구워준다.,,10. 롤을 한입 크기로 썰어 접시에 담고 연근과 새싹채소를 올리고 호두 소스를 곁들인다.,,,,,,,,,,,,,,,,,,,,,
recipeProcess-10,recipe-10,1. 손질된 새우를 끓는 물에 데쳐 건진다.a,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00028_1.png,"2. 연두부, 달걀, 생크림, 설탕에 녹인 무염버터를 믹서에 넣고 간 뒤 새우(1)를 함께 섞어 그릇에 담는다.b",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00028_2.png,3. 시금치를 잘게 다져 혼합물 그릇(2)에 뿌리고 찜기에 넣고 중간 불에서 10분 정도 찐다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00028_3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
